,ari,atl,bal,bos,chc,chw,cin,cle,col,det,mia,hou,kcr,laa,lad,mil,min,nym,nyy,oak,phi,pit,stl,sdp,sfg,sea,tbr,tex,tor,wsn
52,-6,-20.0,8,12,22,2,-18,4.0,-4,-2.0,2.0,-6,8,-4,2,-6,-22,6,-4,-6,0,6,2,-12,12,8,-8,10,0,10
53,-7,-21.0,9,11,23,3,-17,5.0,-5,-3.0,3.0,-5,7,-5,3,-5,-21,7,-3,-5,-1,5,3,-13,11,9,-7,9,1,11
54,-8,-22.0,8,10,24,4,-16,6.0,-6,-2.0,4.0,-4,6,-4,2,-4,-22,8,-4,-4,-2,4,2,-12,12,8,-6,10,2,12
55,-9,-23.0,9,9,23,3,-15,7.0,-7,-1.0,3.0,-5,5,-5,1,-5,-23,7,-3,-5,-1,5,1,-13,11,7,-5,11,3,11
56,-8,-24.0,10,10,24,2,-14,8.0,-6,0.0,2.0,-4,4,-4,2,-4,-24,6,-4,-6,-2,4,2,-12,12,6,-4,12,4,10
57,-9,-25.0,11,9,23,1,-15,7.0,-5,1.0,3.0,-3,3,-5,3,-5,-23,5,-3,-7,-1,5,3,-11,13,5,-5,13,3,11
58,-10,-26.0,12,10,24,0,-14,6.0,-6,2.0,2.0,-2,2,-6,4,-4,-22,6,-2,-8,-2,6,2,-12,12,6,-4,14,4,12
59,-9,-25.0,13,9,23,-1,-15,7.0,-5,1.0,1.0,-3,1,-7,3,-3,-23,7,-1,-9,-1,5,3,-11,11,7,-3,13,3,13
60,-10,-24.0,12,10,24,0,-16,8.0,-4,0.0,2.0,-4,0,-8,4,-4,-24,8,0,-10,-2,4,4,-10,10,6,-4,14,2,12
61,-9,-25.0,11,11,25,1,-15,7.0,-5,1.0,3.0,-3,1,-9,3,-5,-25,7,1,-11,-3,3,5,-11,11,7,-3,13,3,13
62,-10,-26.0,10,10,24,0,-14,8.0,-4,2.0,2.0,-4,2,-8,4,-4,-24,6,0,-10,-4,2,6,-10,10,6,-2,14,2,14
63,-11,-27.0,11,9,25,-1,-15,7.0,-3,1.0,1.0,-5,3,-9,3,-3,-23,5,-1,-9,-5,1,7,-11,11,5,-1,15,3,15
64,-10,-28.0,10,10,24,0,-14,6.0,-2,2.0,2.0,-4,4,-10,2,-4,-24,6,-2,-10,-4,2,6,-12,12,4,-2,14,4,16
65,-9,-27.0,11,9,25,-1,-13,5.0,-1,1.0,3.0,-5,5,-9,1,-5,-25,7,-3,-11,-5,1,5,-13,13,3,-3,15,5,15
66,-8,-26.0,10,8,26,0,-14,6.0,-2,2.0,2.0,-4,4,-8,2,-6,-26,6,-2,-12,-6,0,4,-14,14,4,-4,16,4,16
67,-9,-25.0,11,9,27,-1,-15,7.0,-3,1.0,3.0,-3,5,-9,3,-5,-27,5,-1,-11,-7,-1,3,-13,15,5,-5,17,5,17
68,-10,-24.0,12,10,26,-2,-14,8.0,-4,0.0,4.0,-4,6,-8,2,-6,-28,4,0,-12,-8,-2,2,-14,16,4,-6,18,6,18
69,-9,-23.0,11,9,25,-3,-15,9.0,-3,-1.0,5.0,-3,7,-7,3,-7,-27,5,-1,-13,-9,-3,3,-15,17,3,-7,19,7,17
70,-8,-22.0,10,8,24,-2,-16,10.0,-2,0.0,4.0,-2,6,-8,4,-8,-26,6,-2,-12,-10,-2,4,-14,18,2,-8,20,8,16
71,-7,-23.0,11,7,23,-1,-15,11.0,-3,1.0,3.0,-1,5,-9,5,-9,-25,5,-1,-13,-11,-3,5,-13,17,1,-9,21,7,15
72,-6,-22.0,12,8,24,0,-16,12.0,-4,2.0,4.0,0,4,-10,6,-8,-26,6,0,-12,-12,-4,4,-12,18,0,-10,20,6,14
73,-5,-23.0,13,9,23,-1,-17,13.0,-5,3.0,5.0,1,3,-11,7,-7,-27,7,1,-11,-13,-5,3,-13,19,-1,-11,21,5,13
74,-6,-24.0,14,8,22,0,-18,14.0,-4,2.0,4.0,2,4,-12,8,-6,-28,6,0,-10,-12,-4,4,-12,20,0,-12,20,6,12
